@relation germany2
@attribute "Area Name" string
@attribute Type {'Rural','Urban'}
@attribute State {'Baden-Wuerttemberg','Bavaria','Berlin','Brandenburg','Bremen','Hamburg','Hesse','Lower Saxony','Mecklenburg-Vorpommern','NRW','Rhineland-Palatinate','Saarland','Saxony','Saxony-Anhalt','Schleswig-Holstein','Thuringia'}
@attribute Region {'West','East'}
@attribute "CDU 2005" numeric
@attribute "SPD 2005" numeric
@attribute "FDP 2005" numeric
@attribute "GREEN 2005" numeric
@attribute "LEFT 2005" numeric
@attribute "Non-Voters 2005" numeric
@attribute "CDU 2009" numeric
@attribute "SPD 2009" numeric
@attribute "FDP 2009" numeric
@attribute "GREEN 2009" numeric
@attribute "LEFT 2009" numeric
@attribute "Non-Voters 2009" numeric
@attribute "Pop. density" numeric
@attribute "Elderly pop." numeric
@attribute "Old pop." numeric
@attribute "Mid-aged pop." numeric
@attribute "Young pop." numeric
@attribute "Children pop." numeric
@attribute "Migration balance" numeric
@attribute "Social welfare" numeric
@attribute "Poor elderly inh." numeric
@attribute "Poor child." numeric
@attribute "High-school degree" numeric
@attribute "No school degree" numeric
@attribute "Child care" numeric
@attribute "Business Regstr." numeric
@attribute Income numeric
@attribute Employees numeric
@attribute GPD numeric
@attribute Unemployed numeric
@attribute "Unemployed Youth" numeric
@attribute "Permanently unemployed " numeric
@attribute "Agricult. workf." numeric
@attribute "Ind. workf." numeric
@attribute "Service workf." numeric
@attribute "Pub. serv. workf." numeric
@attribute Cars numeric
@attribute Tractors numeric
@attribute "Registrd. Web Doms." numeric
@attribute Bankruptcies numeric
@data
'Aachen','Urban','NRW','West',?,?,?,?,?,?,?,?,?,?,?,?,800.9,19.2,27.4,27.2,9.9,16.3,-2,0.3,21.9,6.6,34.2,5.3,12,86.1,17749,29.6,27049,?,?,?,1.1,100.2,120.7,99.3,450,1,0.155,160.5
'Dueren','Rural','NRW','West',38.5,37.7,9.4,5.7,5.5,22.4,37.7,25.5,15.1,7.8,8.4,27.9,285.4,19.3,28.5,25.7,8.5,17.9,0,0.4,26.3,7.8,28.8,4.1,8,90.7,17901,31,22263,7.7,8.4,5,2.1,48.3,44.3,34.3,520,3,0.11,198.9
'Rhein-Erft-Kreis','Rural','NRW','West',33.4,40.6,11.5,7.1,4.7,20.3,34.2,27.4,16.6,9.3,7.4,26.5,658.6,19.8,28.8,26.1,7.8,17.5,2,0.3,20.2,10.7,30.7,6,10,101.5,19198,32.8,25426,8.1,7.6,48,1.9,65.7,85.9,49.9,520,1,0.172,172.4
'Euskirchen','Rural','NRW','West',40.4,31.7,13.9,6.3,4.7,22.8,38.4,21.1,19.6,7.9,7.8,29.5,153.8,19.7,29.3,24.6,8,18.3,1,0.5,39.3,4.8,28.7,5.3,6,101.3,18249,31.9,21513,6.2,6.9,33,1.5,32.7,28.5,24.9,544,5,0.132,190.4
'Heinsberg','Rural','NRW','West',43.2,32.5,10.7,5.2,5.1,22.7,41.5,21.5,16.4,7.2,8.2,29.8,406.3,18.9,28.7,25.3,8.5,18.6,0,0.5,26.4,7.6,28.5,7.1,7,103.5,17315,29.8,18545,7.8,7.5,42,2.3,35.9,39,28.7,530,3,0.105,170.2
'Oberbergischer Kreis','Rural','NRW','West',39.8,34.2,11.6,6.7,4.5,22.4,38.3,24,16.8,8.6,7.5,28.9,307.7,20.1,27.3,25.2,8.5,19,-5,0.4,24.1,4.1,26.4,5.9,7,85.5,21288,33.1,25125,6.3,6.3,35,1.3,83.1,47.9,34.5,550,4,0.132,157.7
'Rheinisch-Bergischer Kreis','Rural','NRW','West',37,33.6,14.1,8.8,4.1,17.1,35.5,23.3,19.1,11.3,6.6,22.7,633.6,22.1,28.4,23.9,7.4,18.2,1,0.3,27.3,6.8,34.6,6.1,14,103.6,22665,32.7,20833,7,6.4,47,0.8,41.3,45,35.4,573,2,0.201,137
'Rhein-Sieg-Kreis','Rural','NRW','West',39.3,32.6,13.4,8.2,3.9,19.5,36.3,21.9,20.4,10.5,6.3,25.8,518.9,19.5,28.4,25.5,8,18.5,1,0.2,20.4,6.9,35.5,5.3,10,98.8,20086,32,22055,6.2,6.5,38,3.4,77.2,94.9,73,524,2,0.173,153
'Bottrop','Urban','NRW','West',26.6,53.6,5.7,5.3,6.1,20.4,26.7,39.7,10.4,6.9,10.7,28.8,1165.3,21,29.1,25.2,8.1,16.5,0,0.4,27.2,5.7,28.5,7.3,9,86.7,17978,31.3,18799,9,9.9,41,0.5,19.1,18.3,15.8,516,1,0.097,170.5
'Gelsenkirchen','Urban','NRW','West',23.2,53.8,5.5,5.7,7.9,26.4,23.2,42,9,6.9,12.1,35.1,2477.1,21.1,27.7,25.7,8.5,17,-4,0.6,22,6.9,26.5,9.3,10,72.7,15905,27.8,25427,15.2,14.9,48,0.1,36.9,46.1,39,433,1,0.103,295.2
'Muenster','Urban','NRW','West',35.6,35.3,10.3,13.4,4,17,33.7,23.7,14.7,17.2,6.7,22.3,909.5,17.9,24.9,31.7,9.8,15.8,6,0.4,19.4,4,41.6,6.7,18,84.8,21757,33.9,51010,6.4,5.4,37,1.1,34.3,92.6,82.4,456,1,0.256,119.6
'Borken','Rural','NRW','West',49.3,30.5,9.9,5.1,3.3,19.3,45.4,21.9,16.5,7.3,5.4,26.4,260.4,17.2,26.3,26.6,9.1,20.8,-2,0.4,26.9,6.6,20.7,5.9,8,110.4,18859,33.2,26477,4.8,4.5,4,5.6,105.3,68.6,44.4,501,5,0.173,127.1
'Coesfeld','Rural','NRW','West',44.8,31.6,11,7,3.6,17.2,42.6,22,16.6,9.2,6,22.9,198.4,18,28.1,25.4,8.6,19.8,-1,0.4,28.5,6.3,28.8,3.4,11,78,19399,34,21668,3.9,4.1,6,3.6,37.5,34.8,28.3,559,5,0.115,119.6
'Recklinghausen','Rural','NRW','West',28.7,50.3,6.5,5.6,6.1,21.8,29.1,35.9,11.1,7.6,10.9,28.6,831.8,21.2,28.9,24.9,8.1,16.8,-1,0.6,15.9,9.4,28.7,5.8,10,77,17840,30.2,20648,11.2,10.9,47,1.8,82.1,96.9,81.1,495,1,0.104,158.6
'Steinfurt','Rural','NRW','West',39.2,39,9.8,6.4,3.6,19.1,37.8,28.4,14.6,9,6.4,25.8,247.5,18.5,26.8,25.9,8.8,20,-1,0.4,25.1,6.8,26.5,4.6,9,82.6,18888,34,23244,4.7,4.2,5,4.5,96.9,81.9,57.4,514,4,0.113,136.6
'Warendorf','Rural','NRW','West',42.3,35.1,10.6,6,3.9,19,40.6,24.4,15.3,9.5,6.4,26.1,211.7,19.3,27.1,25.6,8.5,19.6,-3,0.4,25.6,7.1,27.7,3.8,11,81.6,20723,34.2,24903,5.1,4.8,36,4,73.5,44.9,33.7,526,5,0.096,140.8
'Bielefeld','Urban','NRW','West',31.7,39.2,8.5,11.9,6,20.1,30.4,30,11.1,14.1,9.7,27.1,1252.7,20.8,25,27.9,9.1,17.3,0,0.6,19.9,6.5,35,5.8,14,92.2,19784,32,30281,9.7,9.7,36,0.6,61.8,79.8,64.4,456,1,0.154,209.2
'Guetersloh','Rural','NRW','West',41.9,34.3,10.2,6.8,4.1,20.3,38.9,25.4,14.9,9.7,6.5,27.5,365.2,18.7,26.5,26.5,8.5,19.8,-1,0.3,19.5,7.4,26.1,4.6,11,82.1,22587,36.2,36132,4.7,5.1,30,2.7,131.7,78.8,38.6,545,4,0.114,141.4
'Herford','Rural','NRW','West',35.1,41.1,9.3,6.7,5,21.5,32.2,33.3,13.4,8.7,7.9,29,556,21.6,27,24.8,8.2,18.4,-2,0.4,28.5,7.2,32.8,5.5,12,99.4,20704,34.8,26711,6.4,6.3,35,0.9,76.1,45.9,28.8,567,2,0.12,162.3
'Hoexter','Rural','NRW','West',49.2,28.2,11.3,4.6,3.7,19.5,43.4,23.6,16.4,6.3,6.1,26.2,123.7,20.9,27.5,24.3,8.5,18.8,-5,0.4,28.2,8.7,30.2,5.7,7,95.5,18209,32,22029,6.3,5.9,34,1.9,29.4,20.7,21,534,7,0.086,108.5
'Lippe','Rural','NRW','West',33.2,42.2,9.8,6.9,4.5,20.3,31.7,34.8,13.1,8.4,7.2,27.2,283.3,21.7,26.8,24,8.5,19,-3,0.4,30.2,5.2,27,6.7,13,91,20683,32.8,22986,8.1,7.8,37,2,79.8,52.8,51,540,3,0.114,169.4
'Minden-Luebbecke','Rural','NRW','West',35,40.7,9.7,6.3,4.9,22,35.4,32.2,12.7,8,7.2,29.8,274.1,21.4,26.8,24.6,8.4,18.8,-3,0.5,26.6,5.6,33,6.5,12,92.2,20151,33.9,30296,6.3,5.9,4,2.2,80.4,58.6,48.4,561,5,0.101,215.5
'Paderborn','Rural','NRW','West',50.3,27.3,10.1,5.7,3.7,21.5,43.2,20.4,17,8.6,6,29.4,240,16.8,26.3,28,9.4,19.5,0,0.4,27.6,5.3,27.7,5.1,10,96.3,18198,34.1,27854,7.1,6.6,38,2.3,77.1,58.5,46.1,512,4,0.134,166
'Bochum','Urban','NRW','West',24.4,50.2,6.4,8.9,7.1,21.1,24.2,37.1,10.4,11.4,11.3,28.9,2587.1,21.4,28.4,27.3,8.5,14.4,-2,0.4,20.7,6.4,32.3,6.9,12,79.6,18006,30.2,24038,10,8.1,42,0.1,57.6,74.8,70,506,0,0.147,219.2
'Dortmund','Urban','NRW','West',24.9,49.5,7.4,9.3,6.4,24.7,24.4,34.3,11.7,12.4,11.2,31.3,2073,21,27.3,27,8.5,16.2,-2,0.5,19.3,5.4,29.7,8.8,13,106.7,17333,29.8,28816,13.6,11.9,47,0.3,71.8,156.4,99.8,433,1,0.14,223
'Hagen','Urban','NRW','West',30,46.9,7.5,5.9,6,24.5,30.3,32.7,11.4,9.1,10.3,32.2,1185.7,22.8,27,24.7,8.3,17.2,-6,0.5,17.8,11.7,32.5,7,9,73.7,19286,31.2,28083,10.7,9.7,41,0.2,41.4,39.8,32.6,459,1,0.115,134.1
'Hamm','Urban','NRW','West',31.1,47.5,8,5.6,5.1,24,33.5,32.5,12.1,7.3,9.5,30.7,803.3,19.8,27,26.6,8.4,18.3,-1,0.3,27.1,3.1,25.9,6.6,10,81.1,16408,29.5,24276,10.4,9.7,5,0.4,28.4,32.9,26.5,460,2,0.094,193.2
'Herne','Urban','NRW','West',22.8,54.4,5.2,5.7,7.9,24.3,22.9,40.7,9,8.1,12.8,32.6,3221.8,21.7,28.4,26.1,7.9,15.9,-3,0.4,25.2,4.8,27.3,7.1,9,70.6,16353,28,19482,12.6,11.2,46,0.1,24.6,26.3,20.9,421,0,0.096,253.3
'Ennepe-Ruhr-Kreis','Rural','NRW','West',27.4,46.2,9.5,8.2,5.7,20.3,27.8,34.4,12.8,10.7,9.2,26.6,817.3,22.6,29,24.8,7.7,16,-1,0.5,19.3,7.1,31.6,6.2,11,83.1,23005,32.5,23704,7.7,6.9,4,0.6,84.7,51.7,41.2,536,1,0.137,121.5
'Hochsauerlandkreis','Rural','NRW','West',46.6,33.6,9.6,4.1,3.6,20.6,41.9,24.4,16.3,6.3,6.7,27.3,137.8,21.1,27.1,24.8,8.3,18.8,-4,0.5,26.6,7.1,26.6,5.9,10,92.3,20870,33.7,26928,5.7,4.9,7,2.5,86.2,46.4,39,540,5,0.116,107.9
'Maerkischer Kreis','Rural','NRW','West',35.8,39.5,10.3,5.5,5.3,23.9,34.6,28.4,15.1,7.5,8.6,30.9,409.8,20.8,27.7,24.9,8.5,18.1,-6,0.4,26,7.9,24,9.3,8,80.3,23595,33.7,26764,6.2,5,36,1.2,170.9,62.3,49.1,523,2,0.109,165.9
'Olpe','Rural','NRW','West',51.4,29.8,9.5,3.8,3.1,20.6,46.4,21.1,16.6,6.1,5.7,26.8,196.5,18.6,26.9,26.7,8.6,19.1,-4,0.4,36.1,3.2,26.1,6.3,8,83.8,24771,35.3,28719,4.2,4.3,29,0.8,61.3,22.1,15.8,550,4,0.102,98.5
'Siegen-Wittgenstein','Rural','NRW','West',36.6,39,9.5,5.8,5.2,21.9,34.8,28.9,14.9,8.6,8,28.2,251.3,20.6,27.8,25.6,9,17.1,-4,0.3,21.4,7.9,31.2,4.2,10,71.5,21842,34.2,30436,5.7,5.4,38,0.7,95.6,52.7,41.1,545,4,0.125,106.4
'Soest','Rural','NRW','West',39.1,37.5,10.5,5.8,4.4,21.7,36.6,25.4,16.9,8.6,7.6,29,229.8,20,27.6,25.6,8.3,18.5,-1,0.6,32.9,4.9,29.4,4.8,12,92.5,19203,33.1,26983,6.5,5.2,42,3.5,80.1,50.3,42.5,530,4,0.112,165.3
'Unna','Rural','NRW','West',28.1,49.6,7.5,6.5,5.5,20.7,27.5,36.5,12,9,9.5,27.7,762.9,20.8,28.7,24.9,8.3,17.3,-3,0.4,22.6,8.5,30.9,6.7,10,77.3,18276,30.7,23004,10,9.3,43,1.3,66.8,69.3,47.6,505,1,0.099,194.2
'Darmstadt','Urban','Hesse','West',28.5,35.8,10,17.4,5.9,21.9,26.4,24,13.6,20.9,9.8,25.8,1174,18.4,26.5,30.5,8.7,15.9,6,0.6,15.5,12.5,47.6,4.9,14,118.9,22598,34.2,51390,7.8,7.5,42,0.2,39.9,55.1,44.8,462,1,0.258,73.6
'Frankfurt am Main','Urban','Hesse','West',29.3,30.4,13.4,16.6,6.7,24.2,27.8,21.9,17.5,17.2,10.5,28.2,2706,17.3,26.4,33.6,7.4,15.4,8,0.3,34.5,9.2,34,7.6,14,189.6,19350,34.7,77577,8.5,9.3,40,0.5,117.6,422,143.1,447,0,0.28,100.8
'Offenbach am Main','Urban','Hesse','West',33.3,34.3,10.4,11.3,6.5,28.8,28.6,23.8,15.2,14,11.6,33.9,2645.8,17.6,26.1,30.3,8.4,17.7,-6,0.3,35.1,17,26.7,11.9,12,259,16924,32.6,31319,11,9,34,0.1,20.8,32.3,19.2,408,0,0.154,121.2
'Wiesbaden','Urban','Hesse','West',32.1,32.6,13.3,13.3,5.1,24.4,31.1,23.5,17.7,14.1,8.6,28.8,1360.7,19.7,26.3,29.9,7.6,16.6,2,0.4,32.8,4.7,33.4,8.9,15,129.2,20573,33,51122,7.6,8.9,2,0.5,39.7,86.2,64.2,478,1,0.221,57.3
'Bergstrasse','Rural','Hesse','West',36.5,35.3,11.2,8.6,4.3,20.6,34.5,24.6,17.3,10.8,7.5,25.7,365.2,20.7,29.2,25.5,7.6,17,0,0.2,24.2,55.8,32.2,5.4,11,116.2,20422,34.2,25473,5.7,4.3,4,1.6,42.5,43.9,27.6,579,3,0.159,70.6
'Darmstadt-Dieburg','Rural','Hesse','West',32.3,36.7,11.4,11.4,4.8,19.1,31,25.9,16.6,13.5,7.7,23.8,438.7,18.9,29.2,26.6,7.8,17.5,2,0.2,15.9,5.9,22.3,6.8,12,120.3,20569,35,19874,5.2,5.3,3,2,46.6,43.7,24.9,562,3,0.162,87.2
'Gross-Gerau','Rural','Hesse','West',30.2,39.2,10.7,10.7,5.1,20,29.9,28,14.9,12.5,8.9,25.6,559.8,19.1,27.5,27.9,7.9,17.6,1,0.2,22.5,8.2,23.7,7.9,10,117.3,18682,36.7,28718,6.4,6.2,43,1.4,58.7,56.4,23.6,558,2,0.12,90.5
'Hochtaunuskreis','Rural','Hesse','West',38.6,26,17.9,10.7,4.1,16.6,36.7,18.9,22.3,12.1,5.9,20,469.5,22,28.1,25.7,6.4,17.9,4,0.2,40.4,5,38.4,5.4,15,125.9,28242,33.4,43624,3.9,4.3,5,0.6,31.1,59,31.1,654,2,0.232,60.1
'Main-Kinzig-Kreis','Rural','Hesse','West',35.3,34.6,11.4,8.7,5.5,21.5,32.9,24.3,17.3,10.6,8.7,26.6,291.2,20.2,28.5,26.3,7.8,17.2,1,0.5,20.1,7.5,24.1,6.7,11,117.8,19726,34.7,25254,5.6,5.6,3,1.9,82.9,69.3,43.2,547,3,0.136,79.5
'Main-Taunus-Kreis','Rural','Hesse','West',40,27.9,15.6,10.1,3.7,16.9,36.9,19.6,20.9,12.1,5.8,20.7,1019.1,20.7,27.6,27.5,6.5,17.8,2,0.1,0,13.1,31.2,7.3,14,132.3,23612,36.7,48314,4.1,3.8,7,0.6,24.7,70.4,27.7,708,1,0.191,56.6
'Odenwaldkreis','Rural','Hesse','West',31.9,38.8,10.9,8.4,5.7,22.1,30.9,28.2,15.6,10.3,9.4,27.8,156.3,21.3,29,24,8.4,17.3,-2,0.2,?,11,25.9,7,12,99.2,18867,33.1,20225,5.4,5.3,6,0.8,23.1,12.2,10.5,569,6,0.1,61.1
'Offenbach (district)','Rural','Hesse','West',38.3,30.6,13.1,10.3,4.4,19.5,34,21.5,19.5,12.1,7.4,24.6,946.3,20.2,28.3,27,7.3,17,1,0.2,24.2,7.2,29.5,5.5,11,138.9,21404,35.5,28182,6.4,6.9,4,0.7,58.8,86.8,29.2,561,1,0.185,73.8
'Rheingau-Taunus-Kreis','Rural','Hesse','West',36.8,32.8,13.4,10,4.1,18.7,34.9,22.7,19.3,11.7,6.6,22.4,225.9,20.8,29.4,25.6,7,17.2,1,0.2,44.8,7.9,26.4,6.6,14,120.8,21041,34,20374,4.5,4.8,4,1.7,22.9,26.8,19.7,593,4,0.168,50.1
'Wetteraukreis','Rural','Hesse','West',34.4,34.7,12.6,9.3,4.9,21.1,33.2,25.1,17.7,10.9,7.5,25.2,270.9,19.9,28.5,26.4,7.6,17.6,1,0.1,?,29.3,34,6.5,12,118.6,20304,34.1,22716,5.6,6,33,1.9,46.4,49.9,33.9,555,4,0.151,78.5
'Giessen','Rural','Hesse','West',31.3,36.3,12.4,10.9,5.8,22.5,30.4,27.4,15.7,12.4,8.8,27.1,299.3,18.8,27.8,27.1,10.1,16.2,3,0.2,35.3,9.7,29.2,6,15,96.4,18345,32.5,28119,8.9,8.4,49,1.1,43.8,54.3,47,517,4,0.148,84.2
'Lahn-Dill-Kreis','Rural','Hesse','West',35,37,10.6,7.2,5.8,24.9,35.3,27.6,14.4,8.9,8.5,31.1,239,20.8,27.8,25.4,8.2,17.8,-3,0.3,49.5,5.4,20.9,6.1,11,82.6,20903,33.8,27664,6.3,6.9,40,0.8,80.4,43.1,32.5,567,4,0.118,90.1
'Limburg-Weilburg','Rural','Hesse','West',41.4,33.4,10.8,6.6,4.5,22.8,38.9,23.9,16.9,8.4,7.2,28.6,232.2,19.9,28.3,25.4,8.1,18.3,-4,0.3,20.2,19.1,22.2,4.4,12,113.8,19119,32.8,23111,6.3,6.1,37,1,29.5,30.2,22.3,573,4,0.131,113.6
'Marburg-Biedenkopf','Rural','Hesse','West',31.9,38.9,9.4,10.1,6.2,21.7,31.1,28.7,13.1,12.7,9.9,26.9,198.9,18.4,27.8,27,10.3,16.6,-1,0.2,33.4,9.1,28,5.4,14,109.6,17511,32.9,28107,5.8,6,4,1.5,64.7,35.9,45.4,500,6,0.111,69.4
'Vogelsbergkreis','Rural','Hesse','West',33.2,38.1,12.3,6.8,5.5,22,31.3,27.5,17.3,9.4,9.5,27.1,76.1,22.7,29.3,24,7.8,16.2,-7,0.2,48,12.4,18.4,6.9,11,75.7,18418,33.2,19958,6.3,5.3,5,1.8,22.5,13.8,13.6,591,11,0.105,48.3
'Kassel','Urban','Hesse','West',26.3,41.5,8,14,7.5,24.4,24.8,28.4,12.2,17.2,12.5,30.5,1824.1,20.5,26.6,27.8,9.8,15.3,5,0.3,4.8,7.8,31.4,8.4,11,105.7,16998,29.9,42452,12.4,10.5,47,0.2,39.5,64.6,55.1,400,1,0.183,96.4
'Fulda','Rural','Hesse','West',47.4,27.7,10.2,5.9,4.6,20.3,44.5,17.7,17.6,8.3,6.9,25.6,157.8,20.2,26.5,26,8.5,18.8,-1,0.2,?,?,21.8,5.3,11,86.4,19342,33,29741,5.3,4.6,6,2.3,55.2,47.9,31.7,558,7,0.132,66.7
'Hersfeld-Rotenburg','Rural','Hesse','West',30.8,45.5,8.5,6.1,5.4,21.1,31.6,34.1,13.4,7.4,8.9,26.6,111.9,23.4,28.4,24.2,7.7,16.3,-4,0.1,?,?,23,6.1,12,72.3,18441,32.4,27362,6.6,7,3,1.3,28.4,23.3,16.5,578,8,0.129,87.9
'Kassel (district)','Rural','Hesse','West',27.1,47.8,8.5,8.1,5.6,17.9,27,36,13.1,10.6,9.2,24,184.1,22.9,29.2,24.1,7.3,16.6,-1,0.2,14.6,18.3,20.7,5.2,11,83.4,19184,34.1,21297,5.7,5.8,38,1.8,58.5,33,22.6,556,4,0.098,77.8
'Schwalm-Eder-Kreis','Rural','Hesse','West',27.5,46.2,9.7,7.3,5.9,19.2,27.9,35.2,13.8,9.2,9.4,25.1,119.4,21.8,28.6,24.7,7.9,16.9,-4,0.2,55.4,10.5,24.1,5.8,11,80.4,18044,33.6,22800,6.4,6.4,35,2.3,36,24.7,26.5,574,7,0.098,59.9
'Waldeck-Frankenberg','Rural','Hesse','West',33.5,39.6,11.2,7.1,5.2,23,33.2,29.1,16.5,9.3,8,28.8,88.2,21.9,28,24.4,8.1,17.6,-5,0.1,50.9,10.2,21.1,10.2,11,74,18171,34.5,26224,6.1,6.3,29,2.5,43.1,24.2,26,569,9,0.096,84.8
'Werra-Meissner-Kreis','Rural','Hesse','West',28.7,44.9,9.1,7.5,6.5,20.6,28.7,34.7,13.1,8.9,10.8,26.1,102.1,24.3,29.2,23.3,7.4,15.7,-4,0.2,?,?,20.7,5.6,12,69.8,17818,30.6,21387,8.2,7.8,43,1.6,18.5,13.9,15.5,554,8,0.095,97.4
'Koblenz','Urban','Rhineland-Palatinate','West',37.5,34.3,11.9,8.9,5.1,24.7,34.4,22.9,17.4,11.9,8.5,31.6,1013.4,22.3,26.4,27.4,8.5,15.3,5,0.5,29.5,6,41.7,7,14,112.8,18269,31.4,54229,7.6,8.3,31,0.3,19.5,42.6,43.8,494,1,0.198,132.8
'Ahrweiler','Rural','Rhineland-Palatinate','West',45.6,28,13.1,6.6,4.5,19.5,41.1,17.9,20.4,9.1,7.3,25.9,162.7,22.9,28.8,23.5,7.9,16.7,2,0.3,31.9,5.4,35,4.5,14,107.6,18596,32.1,19830,4.9,5.1,26,1.3,17.9,19.5,17.3,568,6,0.148,52.8
'Altenkirchen (Westerwald)','Rural','Rhineland-Palatinate','West',39.4,35.5,10.6,5.6,5.4,22.6,36.5,24.7,16.4,7.7,9.5,29.7,207,21.1,28,24.5,8.5,17.9,-2,0.4,30,6.2,19.1,8.8,10,90.1,17910,32.9,20799,5.3,5,31,0.7,33.5,18,14.8,551,5,0.122,64.6
'Bad Kreuznach','Rural','Rhineland-Palatinate','West',34.2,38.4,11.7,7.2,5.2,21.7,34.1,26.7,15.9,9.3,9.5,28.3,180.4,21.3,28.9,24.7,8,17.1,-1,0.4,29,10,30.3,7.2,14,111.1,18444,33.8,23624,6.8,7.7,37,1.9,32.5,26.6,24.4,555,6,0.115,114.8
'Birkenfeld','Rural','Rhineland-Palatinate','West',32.5,38.8,12.1,5.3,7.5,25.2,31.2,26.9,16.8,6.9,13.5,33.2,108.4,22.9,29.2,23.2,8.1,16.6,-6,0.1,35.5,16.8,24.3,8.7,13,84.1,18085,32.9,22562,7,6.7,37,0.5,19.1,11.9,14.7,566,5,0.095,74.1
'Cochem-Zell','Rural','Rhineland-Palatinate','West',49.3,26.6,13.2,4.1,4.2,19.6,44.9,18.2,19.6,6.2,6.8,26.7,88.7,23.2,27.8,23.6,8.1,17.4,-3,0.3,44.3,2,14.2,8,13,89.6,17791,33.2,23704,4.4,4.3,22,1.5,8.9,11,11.4,585,10,0.136,82.1
'Mayen-Koblenz','Rural','Rhineland-Palatinate','West',40.4,34.9,11.9,5.7,4.5,21.9,38.8,23.7,17.7,8.1,7.5,30,258.3,20.6,29,25.1,8,17.4,-2,0.4,25.8,8.6,20.1,6.6,14,93.9,18442,34,23422,5.9,6.1,31,1.3,42,37.6,28,565,4,0.145,103.7
'Neuwied','Rural','Rhineland-Palatinate','West',38.1,35.9,11.6,6.5,4.9,20.8,35.7,25,17.2,8.6,8.7,28.1,289.5,21.4,28.6,23.8,8.2,18.1,-2,0.3,30,6.6,19.5,10.5,12,111.4,19570,33.4,23748,6.1,6.6,30,0.8,44.8,28.3,24.8,569,4,0.155,161.6
'Rhein-Hunsrueck-Kreis','Rural','Rhineland-Palatinate','West',39.3,32.8,13.7,6.6,4.8,20.6,36.7,22.6,18.2,9.2,8.6,27.6,106.8,20.9,28.7,24.5,8.1,17.7,-4,0.3,34.7,11.2,23.1,7,11,103.7,18561,34.6,24757,5.1,5.1,31,1.1,23,19.1,14.8,588,8,0.141,103.2
'Rhein-Lahn-Kreis','Rural','Rhineland-Palatinate','West',33.8,38.7,11.7,7.5,5.1,21.7,31.5,28.1,16.8,9.7,8.8,28,159.1,22.1,29.3,24,7.8,16.8,-3,0.1,0.6,15.7,25.2,7.7,14,92.4,18675,33.5,19833,4.7,4,24,0.8,21.5,16.4,18.3,576,5,0.128,122.1
'Westerwaldkreis','Rural','Rhineland-Palatinate','West',40.7,32.3,12.5,6.2,5,21,36.8,22.3,18.9,8.1,8.7,27.5,201.8,19.8,28.1,25.3,8.3,18.5,-3,0.3,28.7,6,19.7,7.3,10,99.2,19459,35,25983,4.8,5.1,29,0.9,55.4,34.3,24,587,5,0.133,92.7
'Trier','Urban','Rhineland-Palatinate','West',32.5,36.6,10.7,12.2,5.7,27.6,33.2,22.7,14.7,15.7,9.4,32,892.9,18.5,24.5,30.4,12.4,14.3,0,0.5,30.8,4.3,40,6.9,18,85.7,17832,27,36856,6.6,5.8,25,0.3,20.3,31.4,33.6,440,1,0.169,46
'Bernkastel-Wittlich','Rural','Rhineland-Palatinate','West',41.1,30.7,13.6,6,5.5,21.6,39.8,19.7,18.9,8.4,8.8,28.4,94.7,21.5,28.4,24.7,8,17.4,-4,0.1,4.3,14.5,24,7.3,12,102.6,19119,34.3,24906,3.9,4.1,19,2.9,32.6,17.9,15,589,10,0.133,112.2
'Eifelkreis Bitburg-Pruem','Rural','Rhineland-Palatinate','West',43.2,31,12.9,5.8,4.3,21.9,40.6,19.1,19.1,9.1,8,28.7,58,20.6,28,25,8.2,18.2,-2,0.3,38.4,6.3,26.6,6.7,13,84.6,17836,28.1,23918,3.3,3.5,21,2.4,22.1,13.3,11.3,588,12,0.117,95.3
'Vulkaneifel','Rural','Rhineland-Palatinate','West',46.3,28.4,12.8,5.3,4.5,20.7,41.3,19,20.2,7.1,8.3,28.6,67.8,22.9,28.2,22.7,8.3,17.9,-1,0,17.4,13,26.7,4.5,11,105.1,17851,32.1,22601,5,4.9,6,1,13.7,9.2,10.2,577,10,0.132,99.5
'Trier-Saarburg','Rural','Rhineland-Palatinate','West',38.3,35.9,10.4,6.8,5.9,18.8,39.4,22,15.2,9.7,9.8,24.8,129.6,19.4,28.5,26.2,7.8,18,4,0.3,40.8,4.4,18.9,7.5,16,72.2,18913,29.2,14854,3.2,3.3,20,2.5,20.6,20,12.1,586,8,0.089,47.9
'Frankenthal (Pfalz)','Urban','Rhineland-Palatinate','West',37.9,35.1,10,6.7,5.4,23.5,36.7,24.1,14.4,8,10.9,31.2,1071.2,22.8,27.6,25.4,8,16.1,2,0.2,38.3,13.6,32.4,8.2,12,102.1,17551,33.7,28540,7.3,7.3,39,0.3,13.8,7.8,6.6,502,2,0.126,112
'Kaiserslautern','Urban','Rhineland-Palatinate','West',31.2,35.1,11.1,8.9,8.7,28.3,28.7,24.5,15.2,10.6,13.8,35.6,710.5,20.2,27.2,27.3,10.8,14.6,22,0.5,16.6,11.6,43.4,4.9,14,127.4,16377,30.6,34843,10.2,10.8,38,0.1,24.6,29,24.7,471,1,0.114,112.8
